"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.101","192.168.56.102","TCP","74","39542  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1856061954 TSecr=0 WS=128"
"2","0.000029","192.168.56.102","192.168.56.101","TCP","74","8883  >  39542 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=683102376 TSecr=1856061954 WS=128"
"3","0.000747","192.168.56.101","192.168.56.102","TCP","66","39542  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1856061955 TSecr=683102376"
"4","0.001066","192.168.56.101","192.168.56.102","TLSv1.2","382","Client Hello"
"5","0.001076","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=1 Ack=317 Win=64896 Len=0 TSval=683102377 TSecr=1856061955"
"6","0.003953","192.168.56.102","192.168.56.101","TLSv1.2","2134","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"7","0.004641","192.168.56.101","192.168.56.102","TCP","66","39542  >  8883 [ACK] Seq=317 Ack=2069 Win=63488 Len=0 TSval=1856061959 TSecr=683102380"
"8","0.008463","192.168.56.101","192.168.56.102","TLSv1.2","108","Client Key Exchange"
"9","0.008848","192.168.56.101","192.168.56.102","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"10","0.008955","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2069 Ack=410 Win=64896 Len=0 TSval=683102385 TSecr=1856061963"
"11","0.009166","192.168.56.102","192.168.56.101","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"12","0.009771","192.168.56.101","192.168.56.102","TLSv1.2","139","Application Data"
"13","0.010210","192.168.56.102","192.168.56.101","TLSv1.2","99","Application Data"
"14","0.012028","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"15","0.012374","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"16","0.012526","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=559 Win=64896 Len=0 TSval=683102388 TSecr=1856061966"
"17","0.064090","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"18","0.064562","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"19","0.064708","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=635 Win=64896 Len=0 TSval=683102441 TSecr=1856062018"
"20","0.117031","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"21","0.117389","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"22","0.117533","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=711 Win=64896 Len=0 TSval=683102494 TSecr=1856062071"
"23","0.168516","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"24","0.169034","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"25","0.169145","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=787 Win=64896 Len=0 TSval=683102545 TSecr=1856062123"
"26","0.220051","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"27","0.220575","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"28","0.220745","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=863 Win=64896 Len=0 TSval=683102597 TSecr=1856062174"
"29","0.273529","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"30","0.273883","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"31","0.274030","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=939 Win=64896 Len=0 TSval=683102650 TSecr=1856062228"
"32","0.325310","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"33","0.325676","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"34","0.325832","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=1015 Win=64896 Len=0 TSval=683102702 TSecr=1856062279"
"35","0.378864","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"36","0.379227","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
