"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.101","192.168.56.102","QUIC","1262","Initial, DCID=eac4620abef2b13e, PKN: 0, CRYPTO, PADDING"
"2","0.001334","192.168.56.102","192.168.56.101","QUIC","1262","Handshake, SCID=ac6fab7ba1cb01c551"
"3","0.001336","192.168.56.102","192.168.56.101","QUIC","274","Handshake, SCID=ac6fab7ba1cb01c551"
"4","0.001952","192.168.56.102","192.168.56.101","QUIC","67","Protected Payload (KP0)"
"5","0.002163","192.168.56.101","192.168.56.102","QUIC","1262","Handshake, DCID=ac6fab7ba1cb01c551"
"6","0.002416","192.168.56.101","192.168.56.102","QUIC","1294","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"7","0.002595","192.168.56.102","192.168.56.101","QUIC","1262","Protected Payload (KP0)"
"8","0.002795","192.168.56.101","192.168.56.102","QUIC","110","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"9","0.002870","192.168.56.102","192.168.56.101","QUIC","1262","Protected Payload (KP0)"
"10","0.003275","192.168.56.101","192.168.56.102","QUIC","1374","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"11","0.003380","192.168.56.102","192.168.56.101","QUIC","356","Protected Payload (KP0)"
"12","0.003587","192.168.56.101","192.168.56.102","QUIC","77","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"13","0.003738","192.168.56.102","192.168.56.101","QUIC","73","Protected Payload (KP0)"
"14","0.003979","192.168.56.102","192.168.56.101","QUIC","1294","Protected Payload (KP0)"
"15","0.004477","192.168.56.101","192.168.56.102","QUIC","77","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"16","0.004477","192.168.56.101","192.168.56.102","QUIC","1454","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"17","0.005623","192.168.56.101","192.168.56.102","QUIC","95","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"18","0.005774","192.168.56.102","192.168.56.101","QUIC","68","Protected Payload (KP0)"
"19","0.006017","192.168.56.102","192.168.56.101","QUIC","1374","Protected Payload (KP0)"
"20","0.006508","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"21","0.006629","192.168.56.102","192.168.56.101","QUIC","71","Protected Payload (KP0)"
"22","0.007271","192.168.56.101","192.168.56.102","QUIC","88","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"23","0.007355","192.168.56.102","192.168.56.101","QUIC","68","Protected Payload (KP0)"
"24","0.007585","192.168.56.102","192.168.56.101","QUIC","1454","Protected Payload (KP0)"
"25","0.033673","192.168.56.101","192.168.56.102","QUIC","78","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"26","0.033808","192.168.56.102","192.168.56.101","QUIC","1514","Protected Payload (KP0)"
