"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.101","192.168.56.102","TCP","74","47316  >  1883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1854445968 TSecr=0 WS=128"
"2","0.000068","192.168.56.102","192.168.56.101","TCP","74","1883  >  47316 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=681486427 TSecr=1854445968 WS=128"
"3","0.000691","192.168.56.101","192.168.56.102","TCP","66","47316  >  1883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1854445969 TSecr=681486427"
"4","0.001200","192.168.56.101","192.168.56.102","MQTT","141","Connect Command"
"5","0.001207","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=1 Ack=76 Win=65152 Len=0 TSval=681486428 TSecr=1854445969"
"6","0.002090","192.168.56.102","192.168.56.101","MQTT","70","Connect Ack"
"7","0.002665","192.168.56.101","192.168.56.102","TCP","66","47316  >  1883 [ACK] Seq=76 Ack=5 Win=64256 Len=0 TSval=1854445971 TSecr=681486429"
"8","0.002665","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"9","0.048805","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=89 Win=65152 Len=0 TSval=681486476 TSecr=1854445971"
"10","0.053833","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"11","0.053844","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=102 Win=65152 Len=0 TSval=681486481 TSecr=1854446022"
"12","0.104686","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"13","0.104702","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=115 Win=65152 Len=0 TSval=681486532 TSecr=1854446073"
"14","0.155428","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"15","0.155447","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=128 Win=65152 Len=0 TSval=681486583 TSecr=1854446124"
"16","0.206860","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"17","0.206876","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=141 Win=65152 Len=0 TSval=681486634 TSecr=1854446175"
"18","0.258557","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"19","0.258624","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=154 Win=65152 Len=0 TSval=681486686 TSecr=1854446227"
"20","0.310017","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"21","0.310036","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=167 Win=65152 Len=0 TSval=681486737 TSecr=1854446278"
"22","0.361586","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"23","0.361603","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=180 Win=65152 Len=0 TSval=681486789 TSecr=1854446330"
"24","0.413034","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"25","0.413051","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=193 Win=65152 Len=0 TSval=681486840 TSecr=1854446381"
"26","0.463797","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"27","0.463816","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=206 Win=65152 Len=0 TSval=681486891 TSecr=1854446432"
"28","0.514513","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"29","0.514531","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=219 Win=65152 Len=0 TSval=681486942 TSecr=1854446482"
"30","0.565751","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"31","0.565768","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=232 Win=65152 Len=0 TSval=681486993 TSecr=1854446534"
"32","0.616911","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"33","0.616929","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=245 Win=65152 Len=0 TSval=681487044 TSecr=1854446585"
"34","0.667942","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"35","0.667962","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=258 Win=65152 Len=0 TSval=681487095 TSecr=1854446636"
"36","0.719035","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"37","0.719052","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=271 Win=65152 Len=0 TSval=681487146 TSecr=1854446687"
"38","0.769682","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"39","0.769821","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=284 Win=65152 Len=0 TSval=681487197 TSecr=1854446738"
"40","0.820349","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"41","0.820514","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=297 Win=65152 Len=0 TSval=681487248 TSecr=1854446788"
"42","0.871528","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"43","0.871677","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=310 Win=65152 Len=0 TSval=681487299 TSecr=1854446840"
"44","0.923063","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"45","0.923245","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=323 Win=65152 Len=0 TSval=681487350 TSecr=1854446891"
"46","0.973904","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"47","0.974069","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=336 Win=65152 Len=0 TSval=681487401 TSecr=1854446942"
"48","1.024528","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"49","1.024731","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=349 Win=65152 Len=0 TSval=681487452 TSecr=1854446993"
"50","1.075833","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"51","1.075996","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=362 Win=65152 Len=0 TSval=681487503 TSecr=1854447044"
"52","1.127467","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"53","1.127636","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=375 Win=65152 Len=0 TSval=681487555 TSecr=1854447096"
"54","1.179100","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"55","1.179281","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=388 Win=65152 Len=0 TSval=681487606 TSecr=1854447147"
"56","1.230965","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"57","1.231102","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=401 Win=65152 Len=0 TSval=681487658 TSecr=1854447199"
"58","1.282375","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"59","1.282513","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=414 Win=65152 Len=0 TSval=681487710 TSecr=1854447250"
"60","1.333803","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"61","1.334043","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=427 Win=65152 Len=0 TSval=681487761 TSecr=1854447302"
"62","1.385467","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"63","1.385633","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=440 Win=65152 Len=0 TSval=681487813 TSecr=1854447354"
"64","1.437067","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"65","1.437317","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=453 Win=65152 Len=0 TSval=681487864 TSecr=1854447405"
"66","1.488696","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"67","1.488862","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=466 Win=65152 Len=0 TSval=681487916 TSecr=1854447457"
"68","1.540253","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"69","1.540532","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=479 Win=65152 Len=0 TSval=681487968 TSecr=1854447508"
"70","1.591881","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"71","1.592020","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=492 Win=65152 Len=0 TSval=681488019 TSecr=1854447560"
"72","1.642582","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"73","1.642840","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=505 Win=65152 Len=0 TSval=681488070 TSecr=1854447611"
"74","1.693488","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"75","1.693660","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=518 Win=65152 Len=0 TSval=681488121 TSecr=1854447662"
"76","1.744265","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"77","1.744541","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=531 Win=65152 Len=0 TSval=681488172 TSecr=1854447712"
"78","1.794998","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"79","1.795144","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=544 Win=65152 Len=0 TSval=681488222 TSecr=1854447763"
"80","1.846417","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"81","1.846573","192.168.56.102","192.168.56.101","TCP","66","1883  >  47316 [ACK] Seq=5 Ack=557 Win=65152 Len=0 TSval=681488274 TSecr=1854447814"
